#Arquivo Dados/ColetaChamadaReal60.txt 
#Parâmetros(Ocupação: 60.00%, Capacidade: 588000.000 bps)
#Coleta|Ocupação|E(n)|E(w)|lambda|Little

100 0.00000 0.00000 -nan 0.00000 -nan
34600 10.41907 21.91118 678.71682 0.03228 -0.00000000000016697754
34700 10.39478 21.91533 678.37804 0.03231 -0.00000000000015276669
34800 10.45559 21.88003 678.63190 0.03224 -0.00000000000015276669
34900 10.42563 21.82213 677.57333 0.03221 -0.00000000000017408297
35000 10.40869 21.77569 674.46820 0.03229 0.00000000000004973799
35100 10.40271 21.73407 674.50570 0.03222 -0.00000000000002131628
35200 10.39344 21.68619 673.74562 0.03219 0.00000000000000000000
35300 10.44220 21.63034 670.36955 0.03227 0.00000000000000000000
35400 10.41270 21.58108 670.14942 0.03220 0.00000000000003907985
35500 10.40438 21.54267 667.33416 0.03228 0.00000000000015631940
35600 10.39503 21.51119 665.33311 0.03233 0.00000000000019184654
35700 10.42088 21.48674 665.86509 0.03227 0.00000000000031263880
35800 10.41929 21.45992 666.89685 0.03218 0.00000000000033395509
35900 10.40163 21.43271 666.75407 0.03214 0.00000000000040500936
36000 10.43071 21.41132 665.63703 0.03217 0.00000000000028066438
36100 10.40181 21.39883 663.65786 0.03224 0.00000000000029132252
36200 10.40912 21.39616 663.13438 0.03227 0.00000000000040145665
36300 10.40372 21.40071 662.27253 0.03231 0.00000000000047961635
36400 10.45950 21.39987 661.25234 0.03236 0.00000000000044408921
36500 10.43084 21.40653 661.59053 0.03236 0.00000000000040856207
36600 10.45528 21.42290 662.78784 0.03232 0.00000000000033040237
36700 10.42680 21.44548 662.49936 0.03237 0.00000000000025579538
36800 10.41211 21.47665 664.15189 0.03234 0.00000000000029487524
36900 10.41068 21.50793 664.69239 0.03236 0.00000000000024158453
37000 10.45955 21.54216 665.88131 0.03235 0.00000000000017763568
37100 10.43136 21.58373 666.74152 0.03237 0.00000000000023092639
37200 10.44520 21.63132 668.89861 0.03234 0.00000000000023447910
37300 10.41720 21.68695 668.53150 0.03244 0.00000000000018829382
37400 10.41783 21.75258 670.68955 0.03243 0.00000000000021316282
37500 10.42348 21.80936 672.57491 0.03243 0.00000000000010302870
37600 10.42054 21.86623 674.46284 0.03242 0.00000000000015631940
37700 10.43617 21.92018 676.81469 0.03239 0.00000000000013855583
37800 10.43093 21.98147 676.62840 0.03249 0.00000000000018474111
37900 10.44996 22.04827 679.37342 0.03245 0.00000000000019184654
38000 10.42580 22.11735 682.74519 0.03239 0.00000000000006394885
38100 10.42787 22.18645 684.45645 0.03241 0.00000000000011013412
38200 10.43466 22.22107 685.65837 0.03241 0.00000000000009237056
38300 10.44295 22.24755 685.50364 0.03245 -0.00000000000007105427
38400 10.45220 22.28170 686.14057 0.03247 -0.00000000000023803182
38500 10.44233 22.32165 687.50671 0.03247 -0.00000000000025579538
38600 10.43763 22.36726 687.94928 0.03251 -0.00000000000038369308
38700 10.43248 22.41075 689.42449 0.03251 -0.00000000000036237680
38800 10.45319 22.45407 690.34709 0.03253 -0.00000000000032329694
38900 10.43900 22.50374 691.46549 0.03254 -0.00000000000035171865
39000 10.47524 22.56165 692.29283 0.03259 -0.00000000000037658765
39100 10.44845 22.62781 693.37556 0.03263 -0.00000000000040856207
39200 10.43767 22.70012 695.73464 0.03263 -0.00000000000057553962
39300 10.48236 22.74615 697.83277 0.03260 -0.00000000000056132876
39400 10.45575 22.78885 698.73976 0.03261 -0.00000000000064304118
39500 10.47738 22.83880 700.95766 0.03258 -0.00000000000069988459
